,NAME,the_geom,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP,Star,review,Rating,closing,rates,specials
1,Alexander Hamilton U.S. Custom House,POINT (-74.01375579519738 40.703816216918035),(212) 514-3700,http://www.oldnycustomhouse.gov/,1 Bowling Grn,,New York,10004,4.0,1,4.0 star rating,,,
2,Alice Austen House Museum,POINT (-74.06303178855111 40.615120837755356),(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd,,Staten Island,10305,4.5,12,4.5 star rating,,,
3,American Folk Art Museum,POINT (-73.97810302110001 40.76162497138548),(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street,,New York,10019,4.0,56,4.0 star rating,Closed: Monday,"admission: $9; seniors/students, $7; under 12, free",Pay-what-you-wish: Friday after 5:30pm; refreshments and music available
4,American Museum of Natural History,POINT (-73.97364816377815 40.78082623457644),(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street,,New York,10024,4.0,1391,4.0 star rating,Closed: Thanksgiving Day and Christmas Day,"suggested admission: $16; seniors/students, $12; kids 2&ndash;12, $9; under 2, free",character(0)
5,Anne Frank Center USA,POINT (-73.99963036903092 40.721127449476676),(212) 431-7993,http://www.annefrank.com/,38 Crosby Street,5th Floor,New York,10012,3.0,2,3.0 star rating,,,
6,Bartow-Pell Mansion,POINT (-73.80557949995756 40.87177831678272),(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road,Pelham Bay Park,Bronx,10464,4.0,12,4.0 star rating,,,
7,Bronx Museum of the Arts (BXMA),POINT (-73.91975017724828 40.83102977992849),(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse,,Bronx,10456,4.0,36,4.0 star rating,"Closed: Monday through Wednesday and New Year's Day, Thanksgiving Day and Christmas Day","admission: $5; seniors/students, $3; children, free",Pay-what-you-wish: Friday (excluding groups); refreshments available
8,Bronx Zoo,,(718)-367-1010,http://bronxzoo.com/,2300 Southern Blvd,,Bronx,10460,4.0,583,4.0 star rating,"Closed: New Year's Day, Martin Luther King Jr. Day, Thanksgiving Day and Christmas Day","admission: $15; seniors, $13; children 3&ndash;12, $11; under 2, free",Pay-what-you-wish: Wednesday (excluding special exhibitions/rides)
9,Brooklyn Botanic Garden,,(718)-623-7200,http://www.bbg.org/,990 Washington Ave,,Brooklyn,11225,4.5,493,4.5 star rating,Closed: Monday (except federal holidays),"admission: $8; seniors/students, $4; under 12, free",Free: Tuesday through Saturday from 10am to noon (excluding major public programs)
10,Brooklyn Children's Museum,POINT (-73.94401601383748 40.67450699609931),(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue,,Brooklyn,11213,4.0,95,4.0 star rating,"Closed: Monday (June 29&ndash;September 4, 2010); Monday and Tuesday (September 5, 2010&ndash;June 28, 2011)",admission: $7.50,character(0)
11,Brooklyn Historical Society,POINT (-73.99240540393131 40.694802974910445),(718) 222-4111,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street,,Brooklyn,11201,4.0,19,4.0 star rating,,,
12,Brooklyn Museum,POINT (-73.96358506797661 40.67108321212629),(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway,,Brooklyn,11238,4.5,419,4.5 star rating,"Closed: Monday and Tuesday and New Year's Day, Thanksgiving Day and Christmas Day","suggested contribution: $10; seniors/students, $6; under 12, free",Target-sponsored free admission: First Saturday of each month from 5 to 11pm
13,Center For Jewish History,POINT (-73.99386877223978 40.737986764588406),(212) 294-8301,http://www.cjh.org,15 W. 16th St.,,New York,10011,4.0,3,4.0 star rating,,,
14,Children's Museum of Manhattan,POINT (-73.97727391968168 40.78587092106756),(212) 721-1234,http://www.cmom.org/,212 West 83rd Street,,New York,10024,3.0,111,3.0 star rating,Closed: Monday,"admission: $10; seniors, $7; under 1, free",Target-sponsored free admission: First Friday of each month from 5 to 8pm
15,Children's Museum of the Arts,POINT (-73.99883836090484 40.72074946881006),(212) 274-0986,http://cmany.org/intro.php?pn=home,182 Lafayette Street,,New York,10012,3.5,42,3.5 star rating,,,
16,Cloisters,POINT (-73.93173408706043 40.86492363574811),(212) 923-3700,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive,,New York,10040,4.5,435,4.5 star rating,"Closed: Monday and New Year's Day, Thanksgiving Day and Christmas Day","suggested admission: $20; seniors, $15; students, $10; under 12, free (admission includes same-day entry to The Metropolitan Museum of Art)",character(0)
17,Coney Island Museum,POINT (-73.97985598415269 40.57526324252061),(718) 372-5159,http://www.coneyisland.com/,1208 Surf Ave,,Brooklyn,11224,3.5,15,3.5 star rating,,,
18,"Cooper-Hewitt, National Design Museum",POINT (-73.95778161975461 40.78432573993682),(212) 849-8400,http://www.cooperhewitt.org/,2 East 91st Street,,New York,10128,4.0,112,4.0 star rating,"Closed: New Year's Day, Thanksgiving Day and Christmas Day","admission: $15; seniors/students, $10; under 12, free",character(0)
19,Dahesh Museum,POINT (-73.97304190142106 40.76210697296256),(212) 759-0606,http://www.daheshmuseum.org,580 Madison Avenue,,New York,10022,4.0,1,4.0 star rating,,,
20,Discovery Times Square Exposition,POINT (-73.98731863959442 40.757501085511855),(866) 987-9692,http://www.discoverytsx.com/nyc/,226 W 44th St,,New York,10036,3.5,261,3.5 star rating,,,
21,Drawing Center,POINT (-74.00290417204171 40.72245118852784),(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,35 Wooster St.,,New York,10013,4.0,6,4.0 star rating,,,
22,Dyckman Farmhouse,POINT (-73.92383914748758 40.86713092093551),(212) 304-9422,http://www.dyckmanfarmhouse.org/,4881 Broadway,,New York,10034,4.0,11,4.0 star rating,,,
23,El Museo del Barrio,POINT (-73.95136760111666 40.793098920789426),(212) 831-7272,http://www.elmuseo.org/,1230 Fifth Ave,,New York,10029,3.5,62,3.5 star rating,"Closed: Monday and Tuesday and New Year's Day, Fourth of July, Thanksgiving Day and Christmas Day","admission: $9; seniors/students, $5; members/under 12, free",Free: Wednesday (for seniors)
24,Ellis Island Museum,POINT (-74.04132161794243 40.69820755330298),(212) 363-3200,http://www.ellisisland.org/,Ellis Island,,New York,0,4.0,49,4.0 star rating,,,
25,Fraunces Tavern Museum,POINT (-74.01133926317924 40.703399275987856),(212) 425-1778,http://www.frauncestavernmuseum.org/,54 Pearl Street,,New York,10004,4.0,18,4.0 star rating,,,
26,Frick Collection,POINT (-73.96708040539806 40.77105465350546),(212) 288-0700,http://www.frick.org/,1 E. 70th Street,,New York,10021,4.5,361,4.5 star rating,Closed: Monday,"admission: $18; seniors, $12; students, $5; under 10 not admitted",Pay-what-you-wish: Sunday from 11am to 1pm
27,Garibaldi-Meucci Museum,POINT (-74.07387774290744 40.6151652240151),(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue,,Staten Island,10305,5.0,2,5.0 star rating,,,
28,Goethe-Institut New York,POINT (-73.96174204015233 40.77916564085246),(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue,,New York,10028,5.0,2,5.0 star rating,,,
29,Gracie Mansion,POINT (-73.9430684626868 40.77611345003038),(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,Carl Schurz Park,New York,10128,4.5,19,4.5 star rating,,,
30,"Guggenheim Museum, Solomon R.",,(212)-423-3500,http://www.guggenheim.org/guggenheim-foundation/architecture/new-york,1071 Fifth Ave,,New York,10128,3.5,2,3.5 star rating,Closed: Thursday,"admission: $18; seniors/students, $15; under 12, free",Pay-what-you-wish: Saturday from 5:45 to 7:45pm; refreshments available
31,Hispanic Society of America Museum,POINT (-73.94682282230515 40.833452146758084),(212) 926-2234,http://www.hispanicsociety.org/,613 West 155th Street,,New York,10032,4.5,22,4.5 star rating,,,
32,Intrepid Sea-Air-Space Museum,POINT (-74.0008918064129 40.764783273941696),(212) 245-0072,http://www.intrepidmuseum.org/,Pier 86 12th Ave. & 46th Street,,New York,10036,4.0,288,4.0 star rating,Closed: Thanksgiving Day and Christmas Day,"admission: $24; seniors (62+)/college students (with ID), $20; kids 3&ndash;17, $19; veterans, $17; under 2 and active-duty/retired military, free",character(0)
33,Isamu Noguchi Garden Museum,POINT (-73.93765514503832 40.76695661305254),(718) 204-7088,http://www.noguchi.org/,32-37 Vernon Boulevard,,Long Island City,11106,4.0,92,4.0 star rating,,,
34,Italian American Museum,POINT (-73.99749410687575 40.719194628210495),(212) 965-9000,http://www.italianamericanmuseum.org/,155 Mulberry St.,,New York,10013,2.0,19,2.0 star rating,,,
35,Jacques Marchais Center Museum of Tibetan Art,POINT (-74.13812336582549 40.57631283530562),(718) 987-3500,http://www.tibetanmuseum.org/,338 Lighthouse Avenue,,Staten Island,10306,4.0,16,4.0 star rating,,,
36,Japan Society,,(212)-715-1255,http://www.japansociety.org/,333 E. 47th St,,New York,10017,4.5,52,4.5 star rating,Closed: Monday,"admission: $10; seniors/students, $8; under 16, free",character(0)
37,Jewish Museum,POINT (-73.95718705931057 40.785402256425414),(212) 423-3200,http://www.thejewishmuseum.org/index.php,1109 Fifth Ave,,New York,10128,4.0,75,4.0 star rating,"Closed: Wednesday, major Jewish holidays and New Year's Day, Martin Luther King Jr. Day and Thanksgiving Day","admission: $12; seniors, $10; students, $7.50; under 12, free",Pay-what-you-wish: Saturday from 11am to 5:45pm
38,King Manor Museum,POINT (-73.80376062063522 40.703042019259755),(718) 206-0545,http://www.kingmanor.org/,152-01 Jamaica Avenue,,Queens,11432,4.0,4,4.0 star rating,,,
39,Lee Young Hee Museum of Korean Culture,POINT (-73.98618833058292 40.74719709497243),(212) 560-0722,http://www.lyhkm.org/,2 West 32nd Street,Suite 301,New York,10001,3.0,1,3.0 star rating,,,
40,Lower East Side Tenement Museum,,(212)-431-0233,https://www.tenement.org/,103 Orchard St.,,New York,10002,4.5,391,4.5 star rating,character(0),"admission: $20; seniors/students, $15; under 5, free; discount rates for combination tours",character(0)
41,Madame Tussauds Wax Museum,POINT (-73.98870226140056 40.75631816305801),(800) 246-8872,http://www.madametussauds.com/NewYork/,234 W. 42nd Street,,New York,10036,4.0,309,4.0 star rating,,,
42,Merchant's House Museum,POINT (-73.99234604790877 40.72765741724545),(212) 777-1089,http://www.merchantshouse.com/,29 East Fourth Street,,New York,10003,4.5,50,4.5 star rating,,,
43,Metropolitan Museum of Art (MET),POINT (-73.96345111145274 40.77942354199044),(212) 535-7710,http://www.metmuseum.org/,1000 Fifth Avenue,,New York,10028,5.0,1988,5.0 star rating,"Closed: Monday (except Memorial Day; July 5, 2010; Labor Day; Columbus Day; and December 27, 2010)","recommended admission: $20; seniors, $15; students, $10; under 12, free (admission includes same-day entry to The Cloisters Museum &amp; Gardens)",Open Friday and Saturday until 9pm with museum admission; rooftop martini bar open until 8pm
44,Morgan Library and Museum,POINT (-73.98132148561602 40.74929507249673),(212) 685-0008,http://www.themorgan.org/home.asp,225 Madison Avenue,,New York,10016,4.5,169,4.5 star rating,"Closed: Monday and New Year's Day, Thanksgiving Day and Christmas Day","admission: $12; seniors/students/kids 12&ndash;16, $8; under 12, free",Pay-what-you-wish: Friday from 7 to 9pm; refreshments available; McKim rooms free Tuesday from 3 to 5pm and Sunday from 4 to 6pm
45,Morris-Jumel Mansion,POINT (-73.93857438792728 40.834447679265466),(212) 923-8008,http://www.morrisjumel.org/,65 Jumel Terrace,,New York,10032,4.5,24,4.5 star rating,,,
46,Mount Vernon Hotel Museum & Garden,POINT (-73.95971082928116 40.76052578447419),(212) 838-6878,http://www.mvhm.org/,421 East 61 Street,,New York,10021,4.5,8,4.5 star rating,,,
47,Museum of American Finance,POINT (-74.00912160394257 40.706484588627994),(212) 908-4110,http://www.moaf.org/index,48 Wall Street,,New York,10005,3.5,40,3.5 star rating,,,
48,Museum of American Illustration,POINT (-73.96690030997947 40.76471562244387),(212) 838-2560,http://societyillustrators.org/museum/index.cms,128 E. 63d St.,,New York,10021,4.0,1,4.0 star rating,,,
49,Museum of Arts & Design (MAD),POINT (-73.98200725142944 40.76740607395742),(212) 299-7777,http://www.madmuseum.org/,2 Columbus Circle,,New York,10019,4.0,121,4.0 star rating,Closed: Monday,"admission: $15; seniors/students, $12",Pay-what-you-wish: Thursday from 6 to 9pm; refreshments available
50,Museum Of Chinese In America,POINT (-73.99919191942232 40.71945394633874),(212) 619-4785,http://www.mocanyc.org/,215 Centre Street,,New York,10013,4.0,81,4.0 star rating,Closed: Monday,"admission: $15; seniors/students, $12",Pay-what-you-wish: Thursday from 6 to 9pm; refreshments available
51,Museum of Contemporary African Diasporan Arts (MoCADA),POINT (-73.97442477664784 40.68524514383062),(718) 230-0492,http://www.mocada.org/,80 Hanson Place,,Brooklyn,11217,4.0,8,4.0 star rating,,,
52,Museum of Jewish Heritage,POINT (-74.01858571588612 40.705986647371226),(646) 437-4200,http://www.mjhnyc.org/index.htm,36 Battery Place,,New York,10280,4.5,41,4.5 star rating,"Closed: Saturday, Jewish holidays and Thanksgiving Day","admission: $12; seniors, $10; students, $7; under 12, free",Pay-what-you-wish: Wednesday from 4 to 8pm; refreshments available
53,Museum of Modern Art (MoMA),POINT (-73.97700363152086 40.76118664102449),(212) 708-9400,http://www.moma.org/,11 West 53rd Street,,New York,10019,4.5,1497,4.5 star rating,Closed: Tuesday,"suggested admission: $20; seniors, $16; students, $12; 16 and under, free",Target-sponsored free admission: Friday from 4 to 8pm; refreshments available
54,Museum of the City of New York,POINT (-73.95191697462884 40.792509034510005),(212) 534-1672,http://www.mcny.org,1220 Fifth Avenue,,New York,10029,4.0,167,4.0 star rating,"Closed: Monday (except holidays) and New Year's Day, Thanksgiving Day and Christmas Day","suggested admission: $10; seniors/students, $6; families (maximum of two adults), $20; under 12, free",character(0)
55,Museum of the Moving Image,POINT (-73.92451017252192 40.75694448741239),(718) 784-4520,http://www.movingimage.us/site/site.php,35 Avenue at 36 Street,,Queens,11106,4.5,382,4.5 star rating,,,
56,National Academy Museum,POINT (-73.95849177369215 40.78361316720407),(212) 369-4880,https://nationalacademy.org/index.asp,1083 5th Avenue,,New York,10128,3.5,18,3.5 star rating,,,
57,National Lighthouse Museum,POINT (-74.07373713057605 40.64094901557986),(718) 556-1681,http://statenislandusa.com/pages/lighthouse.html,1 Lighthouse Plaza,,Staten Island,10301,4.0,1,4.0 star rating,,,
58,National Museum of the American Indian,POINT (-74.01372704598201 40.704321256986034),(212) 514-3700,http://www.nmai.si.edu/,1 Bowling Green,,New York,10004,4.0,111,4.0 star rating,Closed: Christmas Day,admission: free,character(0)
59,National September 11 Memorial & Museum at the World Trade Center,POINT (-74.01091566131102 40.70965448747792),(212) 227-7722,http://www.911memorial.org/,1 Liberty Plaza,20th Floor,New York,10006,4.5,407,4.5 star rating,,,
60,Neue Galerie New York,POINT (-73.96024812606315 40.78124233583781),(212) 628-6200,http://www.neuegalerie.org/,1048 Fifth Avenue,,New York,10028,3.5,156,3.5 star rating,,,
61,New Museum of Contemporary Art,POINT (-73.99283879250072 40.722346701845474),(212) 219-1222,http://www.newmuseum.org/,235 Bowery,,New York,10002,3.0,251,3.0 star rating,Closed: Monday and Tuesday,"admission: $12; seniors, $10; students, $8; 18 and under, free",Free: Thursday from 7 to 9pm Open Friday until 9pm; refreshments available
62,New York Aquarium,,(718)-265-4740,http://nyaquarium.com/,602 Surf Ave,,Brooklyn,11224,3.0,265,3.0 star rating,character(0),"admission: $13; seniors, $10; kids, $9; under 3, free",Pay-what-you-wish: Friday after 3pm
63,New York City Fire Museum,POINT (-74.00693426094169 40.72557180583998),(212) 691-1303,http://www.nycfiremuseum.org/,278 Spring Street,,New York,10012,4.0,38,4.0 star rating,,,
64,New York City Police Museum,POINT (-74.00811754401903 40.70347829082743),(212) 480-3100,http://www.nycpolicemuseum.org/,100 Old Slip,,New York,10038,3.5,4,3.5 star rating,,,
65,New York Hall of Science,POINT (-73.85168679568561 40.74714778785817),(718) 699-0005,http://www.nysci.org/,47-01 111th Street,,Queens,11368,4.0,155,4.0 star rating,Closed: Monday and Thanksgiving Day and Christmas Day,"admission: $11; students/seniors/kids 2&ndash;17, $8",Pay-what-you-wish: Friday from 2 to 5pm and Sunday from 10 to 11am from September through June
66,New York Historical Society,POINT (-73.97425753844574 40.77927324139346),(212) 873-3400,https://www.nyhistory.org/web/,2 West 77th Street,,New York,10024,4.0,118,4.0 star rating,Closed: Monday,"admission: $12; seniors/educators, $9; students, $7; under 12, free",Pay-what-you-wish: Friday from 6 to 8pm
67,New York Transit Museum,POINT (-73.9900259713183 40.69052369812635),(718) 694-4915,http://www.mta.info/mta/museum/,Boerum Pl. & Schermenhorn Street,,Brooklyn,11201,4.5,280,4.5 star rating,Closed: Monday and major holidays,"admission: $5; seniors (62+)/kids 3&ndash;17, $3; members, free",Pay-what-you-wish: Wednesday (for seniors)
68,Nicholas Roerich Museum,POINT (-73.96902249723335 40.802913999614184),(212) 864-7752,http://www.roerich.org/,319 West 107 Street,,New York,10025,5.0,15,5.0 star rating,,,
69,Noble Maritime Collection,POINT (-74.10177203630597 40.64431194442387),(718) 447-6490,http://www.noblemaritime.org/,1000 Richmond Terrace,,Staten Island,10301,4.0,4,4.0 star rating,,,
70,P.S. 1 Contemporary Art Center,POINT (-73.94621241792795 40.74583946863492),(718) 784-2084,http://www.ps1.org/,22-25 Jackson Ave.,,Queens,11101,4.0,276,4.0 star rating,"Closed: Tuesday and Wednesday and New Year's Day, Thanksgiving Day and Christmas Day","admission: $5; seniors/students, $2","Free: With Museum of Modern Art admission ticket dated within 30 days Saturday Warm Up music events until 9pm: admission, $10; refreshments available"
71,Paley Center For Media (formerly Museum Of Television & Radio),POINT (-73.9776016138105 40.76057363859203),(212) 621-6800,http://www.paleycenter.org/,25 West 52 Street,,New York,10019,3.5,44,3.5 star rating,,,
72,Queens County Farm Museum,POINT (-73.72573660861673 40.74556960429117),(718) 347-3276,http://www.queensfarm.org/,73-50 Little Neck Parkway,,Queens,11004,4.0,120,4.0 star rating,,,
73,Queens Museum of Art,POINT (-73.8467627581779 40.7458428647494),(718) 592-9700,http://www.queensmuseum.org/,Queens Museum of Art,Flushing Meadows Corona Park,Queens,11368,4.0,93,4.0 star rating,Closed: Monday and Tuesday,"suggested donation: $5; seniors/students/kids, $2.50; under 5, free",character(0)
74,Rose Center for Earth and Space (Hayden Planetarium),POINT (-73.97257491067647 40.78285983221266),(212) 769-5100,http://www.haydenplanetarium.org/index.php,15 West 81st Street,,New York,10024,4.0,31,4.0 star rating,,,
75,Rubin Museum of Art,POINT (-73.99779152534921 40.74002038014153),(212) 620-5000,http://www.rmanyc.org/,150 West 17th Street,,New York,10011,4.5,175,4.5 star rating,character(0),"admission: $10; seniors/high school students/artists, $7; college students, $2; under 12, free",Pay-what-you-wish: Friday from 7 to 10pm; refreshments available; seniors free first Monday of each month
76,Scandinavia House: The Nordic Center in America,POINT (-73.98008843538526 40.74944689567966),(212) 879-9779,http://www.scandinaviahouse.org/,58 Park Ave.,,New York,10016,4.0,23,4.0 star rating,,,
77,Schomburg Center for Research in Black Culture,POINT (-73.94099076053165 40.814612726277666),(212) 491-2200,http://www.nypl.org/research/sc/sc.html,515 Malcolm X Boulevard,,New York,10037,4.5,19,4.5 star rating,,,
78,Seguine Mansion,POINT (-74.19758929841912 40.51521434364335),(718) 667-6042,http://www.historichousetrust.org/item.php?i_id=38,440 Seguine Avenue,,Staten Island,10307,4.0,1,4.0 star rating,,,
79,Skyscraper Museum,POINT (-74.01756806833069 40.70565752977975),(212) 968-1961,http://www.skyscraper.org/home.htm,39 Battery Place,,New York,10280,2.5,44,2.5 star rating,Closed: Monday and Tuesday,"admission: $5; seniors/students, $2.50",character(0)
80,Snug Harbor Cultural Center &amp; Botanical Garden,,(718)-448-2500,http://snug-harbor.org/,1000 Richmond Terrace ,,Staten Island,10301,4.0,35,4.0 star rating,Closed: Monday (December through April),"admission for galleries and garden tours: $6; seniors/students/members, $5; under 12, $3; under 3, free",character(0)
81,South Street Seaport Museum,POINT (-74.00372094057576 40.70660335756895),(212) 748-8600,http://www.southstreetseaportmuseum.org/,12 Fulton Street,,New York,10038,3.5,13,3.5 star rating,Closed: Tuesday through Thursday (January through March); Monday (April through December),"admission: $12; seniors/students, $10; kids 5&ndash;12, $8; under 5, free",Pay-what-you-wish: Third Friday of each month from 5 to 9pm; refreshments available
82,Staten Island Children's Museum,POINT (-74.10189210518134 40.64270888224811),(718) 273-2060,http://www.statenislandkids.org/,1000 Richmond Terr.,,Staten Island,10301,4.5,24,4.5 star rating,,,
83,Staten Island Museum / Staten Island Institute of Arts & Sciences,POINT (-74.0776650626922 40.64436917860095),(718) 727-1135,http://www.statenislandmuseum.org/,75 Stuyvesant Pl.,,Staten Island,10301,3.5,7,3.5 star rating,"Closed: Monday (on federal holidays) and New Year's Day, Thanksgiving Day and Christmas Day","admission: $2; seniors/students, $1; members/under 12, free",Pay-what-you-wish: Tuesday and Friday from noon to 2pm (lunchtime)
84,Statue of Liberty National Monument | Ellis Island Immigration Museum,,(212)-363-3180,,Liberty Island | Ellis Island,,New York,0,4.0,221,4.0 star rating,Closed: Christmas Day,"admission: free, except ferry fees ($12; seniors, $10; kids 4&ndash;12, $5) and an optional $3 crown-access fee",character(0)
85,Studio Museum in Harlem,POINT (-73.94772615470191 40.808245476168075),(212) 864-4500,http://www.studiomuseum.org,144 West 125th Street,,New York,10027,4.0,38,4.0 star rating,Closed: Monday and Tuesday and federal holidays,"admission: $7; seniors/students, $3; under 12, free",Target-sponsored free admission: Sunday
86,Tenement Museum,POINT (-73.98967904824913 40.718687698398995),(212) 431-0233,http://www.tenement.org/,108 Orchard Street,,New York,10002,4.5,393,4.5 star rating,,,
87,The Jazz Museum in Harlem,POINT (-73.9380587417615 40.80527638435791),(212) 348-8300,http://www.jazzmuseuminharlem.org/,58 W 129th St,Suite 2D,New York,10035,4.0,7,4.0 star rating,,,
88,The Jewish Children's Museum,POINT (-73.94196177006319 40.66891157732498),(718) 467-0600,http://www.jcmonline.org/,792 Eastern Pkwy,,Brooklyn,11213,3.5,3,3.5 star rating,,,
89,The New York Botanical Garden,,(718)-817-8700,http://www.nybg.org/,2900 Southern Blvd,,Bronx,10458,4.5,344,4.5 star rating,Closed: Monday (except federal holidays),"admission: $20; seniors/students, $18; under 12, $8; under 2, free",Free: All day Wednesday and Saturday from 10am to noon
90,The Noguchi Museum,,(718)-204-7088,http://www.noguchi.org/,9-01 33rd Road,,Queens,11106,4.0,92,4.0 star rating,Closed: Monday and Tuesday,"admission: $10; seniors/students, $5; under 12, free",Pay-what-you-wish: First Friday of each month
91,Ukrainian Museum,POINT (-73.98975703078781 40.7276767876997),(212) 228-0110,http://www.ukrainianmuseum.org/,222 East 6th Street,,New York,10003,3.5,11,3.5 star rating,,,
92,Van Cortlandt House Museum,POINT (-73.89482257025313 40.89111116729143),(718) 543-3344,http://www.vancortlandthouse.org/,VAN CRTLANDT MANSION,Broadway at West 246th Street,Bronx,10471,4.5,4,4.5 star rating,,,
93,Wave Hill,POINT (-73.91165376574718 40.89788471476036),(718) 549-3200,http://wavehill.org/visit/,West 249th Street & Independence Avenue,,Bronx,10471,4.5,98,4.5 star rating,Closed: Monday (except federal holidays),"admission: $8; seniors/students, $4; kids 6 and older, $2; under 6, free",Free: Tuesday and Saturday from 9am to noon (May through June and September through October); all day Tuesday (off-peak months)
94,Whitney Museum of American Art,POINT (-73.96383434736195 40.773407292902185),1 (800) WHITNEY,http://www.whitney.org/,945 Madison Ave.,,New York,10021,4.0,138,4.0 star rating,Closed: Monday and Tuesday,"admission: $15; seniors/students, $10; under 11, free",Pay-what-you-wish: Friday from 6 to 9pm; refreshments available; occasional live music
95,Wyckoff Farmhouse Museum,POINT (-73.92079629906307 40.644340681393366),(718) 629-5400,http://www.wyckoffassociation.org/,5816 Clarendon Ave,,Brooklyn,11203,3.5,4,3.5 star rating,,,
96,Yeshiva University Museum,POINT (-73.99381737049632 40.738045683847),(212) 294-8330,http://www.yumuseum.org/,15 W. 16th St.,,New York,10011,4.0,3,4.0 star rating,,,