lat,lng,NAME
40.758943,-73.979356,Top of The Rock Observation Deck
40.747993,-74.004765,High Line
40.706086,-73.996864,Brooklyn Bridge
40.700528,-73.996634,Brooklyn Bridge Park
40.74648,-73.958208,Gantry Plaza State Park
40.75874,-73.978674,Rockefeller Center
40.769078,-73.982954,"Mandarin Oriental, New York"
40.711801,-74.01312,One World Observatory
40.703277,-74.017028,Battery Park
40.739342,-74.00999,Whitney Museum of American Art
40.783811,-73.979899,Belvedere Castle
40.701194,-74.014183,South Street Seaport
40.710083,-74.012417,911 tribute center
40.706876,-74.011265,New York Stock Exchange
40.807722,-73.96411,Columbia University
40.748441,-73.985664,Empire State Building
40.689249,-74.0445,Statue of Liberty
40.77275,-73.984353,70 Lincoln Center Plaza
40.715751,-73.997031,China Town
40.723301,-74.002988,SOHO